label,method,chunk_size,overlap_ratio,raw_sections,kept_sections,filtered_sections,chunk_count,avg_tokens,median_tokens,min_tokens,max_tokens,tiny_chunks_under_50,oversized_chunks,duplicate_chunk_rate,headings_retained,page_metadata_retained,unique_pages_covered,avg_source_sections_per_chunk,output_path
hybrid_500_o10,hybrid_section_aware,500,0.1,619,613,6,225,398.97,433.0,24,500,2,0,0.0,True,True,96,3.84,/Users/williamcatt/Documents/Projects/QuoteGuard/data/processed/parser_lab/phase2/docling_Allianz_Business_PDS/hybrid_500_o10_chunks.json
hybrid_800_o20,hybrid_section_aware,800,0.2,619,613,6,138,682.14,725.5,24,800,1,0,0.0,True,True,96,6.57,/Users/williamcatt/Documents/Projects/QuoteGuard/data/processed/parser_lab/phase2/docling_Allianz_Business_PDS/hybrid_800_o20_chunks.json
page_800_o00,page_based,800,0.0,619,613,6,107,601.69,689.0,7,800,9,0,0.0,True,True,96,1.0,/Users/williamcatt/Documents/Projects/QuoteGuard/data/processed/parser_lab/phase2/docling_Allianz_Business_PDS/page_800_o00_chunks.json
section_500_o10,section_aware,500,0.1,619,613,6,622,104.23,75.0,8,500,185,0,0.008,True,True,96,1.0,/Users/williamcatt/Documents/Projects/QuoteGuard/data/processed/parser_lab/phase2/docling_Allianz_Business_PDS/section_500_o10_chunks.json
section_800_o10,section_aware,800,0.1,619,613,6,613,105.03,74.0,8,771,185,0,0.008,True,True,96,1.0,/Users/williamcatt/Documents/Projects/QuoteGuard/data/processed/parser_lab/phase2/docling_Allianz_Business_PDS/section_800_o10_chunks.json
